customer_id,date_of_customer_visit,number_of_days_to_deliver_Product,fiter_Name,glass_distributor_name,time_spend_by_customer_in_shop
1,2025-01-11,4,"Fitter 3","Distributor 3",10
3,2025-06-25,2,"Fitter 3","Distributor 3",20
4,2025-07-11,2,"Fitter 4","Distributor 1",18
7,2025-03-01,5,"Fitter 5","Distributor 2",24
10,2025-01-17,5,"Fitter 4","Distributor 2",22
15,2025-02-03,4,"Fitter 2","Distributor 3",41
17,2025-01-23,2,"Fitter 1","Distributor 3",19
21,2025-10-01,3,"Fitter 2","Distributor 1",19
23,2026-01-05,4,"Fitter 2","Distributor 1",19
24,2025-07-28,1,"Fitter 4","Distributor 1",10
25,2025-10-25,6,"Fitter 1","Distributor 2",35
29,2025-04-25,5,"Fitter 2","Distributor 2",17
30,2025-12-02,5,"Fitter 3","Distributor 3",37
32,2025-12-19,7,"Fitter 5","Distributor 3",11
33,2025-03-26,1,"Fitter 1","Distributor 2",11
34,2025-08-06,2,"Fitter 2","Distributor 1",14
37,2025-07-25,3,"Fitter 3","Distributor 3",46
38,2025-12-29,5,"Fitter 5","Distributor 2",48
40,2025-10-26,2,"Fitter 3","Distributor 3",16
41,2025-11-06,3,"Fitter 1","Distributor 3",30
42,2025-10-10,4,"Fitter 3","Distributor 3",49
44,2025-04-16,5,"Fitter 4","Distributor 1",15
47,2025-08-21,1,"Fitter 5","Distributor 2",46
49,2025-08-27,2,"Fitter 3","Distributor 3",10
51,2026-01-04,5,"Fitter 3","Distributor 3",28
53,2025-11-30,6,"Fitter 2","Distributor 3",35
54,2025-11-08,4,"Fitter 5","Distributor 2",30
56,2025-02-20,7,"Fitter 1","Distributor 3",10
58,2025-10-07,7,"Fitter 3","Distributor 1",27
59,2025-10-26,4,"Fitter 3","Distributor 2",46
60,2025-12-21,7,"Fitter 5","Distributor 1",38
61,2025-04-18,7,"Fitter 2","Distributor 1",12
62,2025-09-11,5,"Fitter 5","Distributor 2",24
64,2025-05-09,3,"Fitter 1","Distributor 3",19
66,2025-07-28,6,"Fitter 4","Distributor 2",27
67,2025-12-11,1,"Fitter 3","Distributor 3",31
69,2025-10-23,6,"Fitter 3","Distributor 3",31
70,2025-06-12,7,"Fitter 2","Distributor 2",13
71,2025-12-28,2,"Fitter 3","Distributor 3",32
72,2025-02-27,4,"Fitter 3","Distributor 1",38
73,2025-01-21,3,"Fitter 2","Distributor 1",23
74,2025-10-25,4,"Fitter 5","Distributor 1",28
77,2025-10-03,1,"Fitter 5","Distributor 3",31
82,2025-09-22,7,"Fitter 3","Distributor 2",28
85,2025-01-23,2,"Fitter 5","Distributor 1",50
87,2025-01-26,6,"Fitter 5","Distributor 2",45
89,2025-10-08,3,"Fitter 2","Distributor 2",25
90,2025-04-11,4,"Fitter 4","Distributor 3",46
94,2025-06-13,1,"Fitter 1","Distributor 1",22
95,2025-06-17,5,"Fitter 1","Distributor 3",17
96,2025-05-20,5,"Fitter 1","Distributor 2",32
97,2025-05-14,1,"Fitter 5","Distributor 2",36
99,2025-11-12,4,"Fitter 4","Distributor 1",31
100,2025-07-31,3,"Fitter 2","Distributor 1",27
101,2025-06-10,6,"Fitter 2","Distributor 2",12
102,2025-04-06,6,"Fitter 2","Distributor 2",20
104,2026-01-06,4,"Fitter 1","Distributor 3",12
109,2025-03-01,2,"Fitter 1","Distributor 2",42
111,2025-12-03,7,"Fitter 3","Distributor 1",10
112,2025-02-19,3,"Fitter 4","Distributor 2",48
113,2025-06-01,2,"Fitter 2","Distributor 1",28
115,2025-01-21,1,"Fitter 5","Distributor 2",20
117,2025-10-04,5,"Fitter 5","Distributor 3",37
118,2025-01-22,7,"Fitter 5","Distributor 2",48
120,2025-09-20,4,"Fitter 4","Distributor 1",27
124,2025-02-01,2,"Fitter 2","Distributor 2",26
125,2025-10-22,3,"Fitter 4","Distributor 1",31
126,2025-09-26,6,"Fitter 3","Distributor 2",24
128,2025-07-20,6,"Fitter 3","Distributor 2",41
134,2025-09-13,7,"Fitter 5","Distributor 2",34
135,2026-01-11,6,"Fitter 4","Distributor 1",47
139,2025-05-29,7,"Fitter 2","Distributor 1",43
142,2025-11-01,2,"Fitter 3","Distributor 3",19
144,2025-07-21,7,"Fitter 4","Distributor 2",25
145,2025-08-08,3,"Fitter 4","Distributor 3",16
146,2025-12-07,1,"Fitter 3","Distributor 3",41
150,2025-09-07,7,"Fitter 3","Distributor 3",22
