invoice_id,item_id,product_id,brand_id,product_type_id,quantity,unit_selling_price,final_product_price
1,1,6,24,36,1,6749.00,6749.00
2,2,3,19,22,1,2748.00,2748.00
3,3,3,18,19,1,2227.00,2227.00
4,4,1,1,7,1,4514.00,4514.00
4,5,1,2,5,1,6928.00,6928.00
5,6,4,22,31,1,5684.00,5684.00
5,7,3,19,29,1,6657.00,6657.00
6,8,2,17,18,2,4045.00,8090.00
6,9,3,19,22,1,5089.00,5089.00
6,10,6,24,36,1,2949.00,2949.00
7,11,6,25,36,1,6386.00,6386.00
7,12,4,21,35,1,555.00,555.00
8,13,6,25,36,1,601.00,601.00
8,14,6,25,36,1,1333.00,1333.00
9,15,2,13,14,2,2077.00,4154.00
10,16,3,19,25,1,1881.00,1881.00
11,17,4,21,30,1,3706.00,3706.00
12,18,4,20,31,1,2026.00,2026.00
12,19,2,11,13,2,4088.00,8176.00
13,20,4,22,31,1,4977.00,4977.00
14,21,3,19,25,1,4030.00,4030.00
15,22,1,10,10,1,2461.00,2461.00
15,23,4,21,31,1,5016.00,5016.00
15,24,6,24,36,1,6284.00,6284.00
16,25,1,7,2,1,6342.00,6342.00
16,26,3,19,27,1,2785.00,2785.00
16,27,1,9,2,1,2971.00,2971.00
17,28,1,1,6,1,4493.00,4493.00
17,29,4,20,32,1,6106.00,6106.00
17,30,2,15,13,2,6945.00,13890.00
18,31,4,22,32,1,1014.00,1014.00
18,32,4,21,30,1,1319.00,1319.00
19,33,1,6,5,1,4521.00,4521.00
19,34,4,20,35,1,6857.00,6857.00
19,35,2,12,17,2,4475.00,8950.00
20,36,1,9,5,1,1441.00,1441.00
21,37,4,22,34,1,5391.00,5391.00
22,38,2,16,17,2,1485.00,2970.00
22,39,4,21,31,1,1327.00,1327.00
22,40,2,14,17,2,1215.00,2430.00
23,41,1,3,7,1,4400.00,4400.00
23,42,2,16,17,2,897.00,1794.00
23,43,3,19,24,1,1544.00,1544.00
24,44,1,2,5,1,3988.00,3988.00
24,45,3,19,27,1,5027.00,5027.00
25,46,6,24,36,1,1929.00,1929.00
26,47,2,11,12,2,1626.00,3252.00
27,48,4,21,34,1,6303.00,6303.00
27,49,6,24,36,1,6342.00,6342.00
28,50,2,11,17,2,4886.00,9772.00
29,51,1,9,9,1,2916.00,2916.00
30,52,6,25,36,1,3630.00,3630.00
31,53,1,9,5,1,2721.00,2721.00
31,54,1,4,9,1,1840.00,1840.00
32,55,1,6,11,1,1173.00,1173.00
32,56,1,3,3,1,5522.00,5522.00
33,57,4,22,34,1,3339.00,3339.00
33,58,3,18,26,1,861.00,861.00
33,59,3,18,26,1,4574.00,4574.00
34,60,1,9,7,1,5156.00,5156.00
35,61,4,20,30,1,6502.00,6502.00
35,62,4,20,32,1,680.00,680.00
35,63,1,3,2,1,1916.00,1916.00
36,64,6,25,36,1,5929.00,5929.00
36,65,4,22,35,1,2334.00,2334.00
36,66,6,25,36,1,5038.00,5038.00
37,67,3,19,25,1,2900.00,2900.00
37,68,1,6,3,1,6458.00,6458.00
37,69,6,24,36,1,2474.00,2474.00
38,70,4,22,35,1,6862.00,6862.00
38,71,3,19,28,1,6859.00,6859.00
38,72,6,25,36,1,869.00,869.00
39,73,6,24,36,1,6633.00,6633.00
40,74,6,25,36,1,6589.00,6589.00
40,75,6,25,36,1,2538.00,2538.00
40,76,1,1,2,1,2967.00,2967.00
41,77,6,24,36,1,2956.00,2956.00
41,78,3,19,25,1,2522.00,2522.00
41,79,3,19,19,1,4897.00,4897.00
42,80,1,8,1,1,6256.00,6256.00
42,81,1,1,1,1,6858.00,6858.00
43,82,6,25,36,1,5004.00,5004.00
43,83,2,12,16,2,3020.00,6040.00
43,84,6,24,36,1,5659.00,5659.00
44,85,6,24,36,1,2224.00,2224.00
44,86,3,19,29,1,4631.00,4631.00
44,87,6,25,36,1,3599.00,3599.00
45,88,1,4,10,1,3805.00,3805.00
45,89,2,17,13,2,5671.00,11342.00
46,90,3,19,23,1,3849.00,3849.00
46,91,4,20,30,1,5507.00,5507.00
46,92,4,21,31,1,5657.00,5657.00
47,93,4,22,33,1,6027.00,6027.00
47,94,2,11,17,2,3655.00,7310.00
47,95,2,16,17,2,1739.00,3478.00
48,96,3,19,23,1,2857.00,2857.00
48,97,6,24,36,1,4515.00,4515.00
49,98,6,24,36,1,2800.00,2800.00
49,99,4,21,32,1,4474.00,4474.00
49,100,3,18,29,1,1278.00,1278.00
50,101,6,24,36,1,3070.00,3070.00
51,102,6,25,36,1,4514.00,4514.00
51,103,1,8,5,1,2284.00,2284.00
51,104,1,4,2,1,3642.00,3642.00
52,105,2,12,14,2,1742.00,3484.00
52,106,3,19,29,1,2407.00,2407.00
52,107,3,19,25,1,4193.00,4193.00
53,108,6,25,36,1,2792.00,2792.00
53,109,3,18,24,1,3620.00,3620.00
53,110,6,24,36,1,1854.00,1854.00
54,111,1,10,11,1,888.00,888.00
55,112,6,24,36,1,619.00,619.00
55,113,1,8,11,1,4955.00,4955.00
56,114,4,21,32,1,4885.00,4885.00
56,115,1,3,9,1,3885.00,3885.00
57,116,3,18,20,1,1342.00,1342.00
58,117,1,2,6,1,1588.00,1588.00
58,118,3,19,25,1,3887.00,3887.00
58,119,1,6,2,1,3449.00,3449.00
59,120,6,24,36,1,3848.00,3848.00
59,121,3,19,20,1,4577.00,4577.00
60,122,6,24,36,1,4359.00,4359.00
60,123,2,11,17,2,2269.00,4538.00
60,124,3,18,23,1,2800.00,2800.00
61,125,2,13,18,2,5983.00,11966.00
62,126,2,15,15,2,894.00,1788.00
62,127,1,10,9,1,5511.00,5511.00
63,128,4,20,30,1,4800.00,4800.00
63,129,2,16,17,2,1113.00,2226.00
63,130,4,21,32,1,4745.00,4745.00
64,131,3,19,22,1,1077.00,1077.00
64,132,1,7,6,1,4897.00,4897.00
65,133,3,19,26,1,5480.00,5480.00
65,134,6,25,36,1,2824.00,2824.00
65,135,6,25,36,1,6303.00,6303.00
66,136,3,18,25,1,4877.00,4877.00
66,137,4,21,30,1,4697.00,4697.00
66,138,2,15,12,2,3987.00,7974.00
67,139,4,21,33,1,1572.00,1572.00
67,140,1,6,9,1,5813.00,5813.00
68,141,2,14,14,2,2040.00,4080.00
68,142,1,1,5,1,4914.00,4914.00
69,143,4,21,34,1,4439.00,4439.00
70,144,4,22,33,1,748.00,748.00
71,145,6,24,36,1,5557.00,5557.00
71,146,2,17,12,2,1520.00,3040.00
72,147,6,24,36,1,2356.00,2356.00
73,148,6,24,36,1,907.00,907.00
