invoice_id,customer_id,staff_id,invoice_date,payment_mode,total_amount_items,total_tax,discount_amount,final_bill_amount
1,1154,1,"2025-02-21 00:00:00",Card,6749.00,245.00,0.00,6994.00
2,4900,6,"2025-10-27 00:00:00",UPI,2748.00,467.00,0.00,3215.00
3,5778,2,"2025-03-13 00:00:00",Card,2227.00,425.00,0.00,2652.00
4,5087,2,"2025-02-09 00:00:00",UPI,11442.00,435.00,0.00,11877.00
5,6427,10,"2025-09-23 00:00:00",Card,12341.00,255.00,0.00,12596.00
6,4959,18,"2025-12-26 00:00:00",Card,16128.00,194.00,0.00,16322.00
7,1541,9,"2025-11-22 00:00:00",Cash,6941.00,353.00,0.00,7294.00
8,1641,4,"2025-09-22 00:00:00",Cash,1934.00,184.00,0.00,2118.00
9,6443,10,"2025-09-01 00:00:00",Cash,4154.00,304.00,0.00,4458.00
10,6073,5,"2025-12-26 00:00:00",Card,1881.00,357.00,0.00,2238.00
11,4464,5,"2025-05-28 00:00:00",Card,3706.00,227.00,0.00,3933.00
12,3240,3,"2025-06-08 00:00:00",Card,10202.00,278.00,0.00,10480.00
13,1753,17,"2025-07-18 00:00:00",UPI,4977.00,289.00,0.00,5266.00
14,7405,8,"2025-03-23 00:00:00",Card,4030.00,465.00,0.00,4495.00
15,6167,3,"2025-08-12 00:00:00",Cash,13761.00,230.00,0.00,13991.00
16,3975,7,"2025-04-16 00:00:00",Cash,12098.00,425.00,0.00,12523.00
17,7393,2,"2026-01-11 00:00:00",Card,24489.00,388.00,0.00,24877.00
18,5284,5,"2025-07-23 00:00:00",UPI,2333.00,455.00,0.00,2788.00
19,1844,11,"2025-11-28 00:00:00",Cash,20328.00,221.00,0.00,20549.00
20,2265,2,"2025-09-24 00:00:00",Cash,1441.00,156.00,0.00,1597.00
21,17,11,"2025-01-23 00:00:00",Cash,5391.00,193.00,0.00,5584.00
22,95,15,"2025-06-17 00:00:00",Cash,6727.00,495.00,0.00,7222.00
23,5705,4,"2025-02-15 00:00:00",UPI,7738.00,492.00,0.00,8230.00
24,5529,7,"2025-06-30 00:00:00",Card,9015.00,173.00,0.00,9188.00
25,7632,15,"2025-12-17 00:00:00",UPI,1929.00,298.00,0.00,2227.00
26,6205,2,"2025-09-14 00:00:00",Cash,3252.00,172.00,0.00,3424.00
27,4383,11,"2025-09-18 00:00:00",Card,12645.00,383.00,0.00,13028.00
28,6202,14,"2025-09-06 00:00:00",UPI,9772.00,435.00,0.00,10207.00
29,557,4,"2025-11-21 00:00:00",UPI,2916.00,183.00,0.00,3099.00
30,544,2,"2025-08-11 00:00:00",Card,3630.00,497.00,0.00,4127.00
31,2038,11,"2025-11-16 00:00:00",Card,4561.00,237.00,0.00,4798.00
32,6447,11,"2025-03-02 00:00:00",Cash,6695.00,179.00,0.00,6874.00
33,6235,16,"2025-01-16 00:00:00",UPI,8774.00,374.00,0.00,9148.00
34,6881,8,"2025-08-20 00:00:00",UPI,5156.00,308.00,0.00,5464.00
35,2304,19,"2025-02-16 00:00:00",Card,9098.00,385.00,0.00,9483.00
36,6364,12,"2025-08-17 00:00:00",UPI,13301.00,216.00,0.00,13517.00
37,7720,10,"2025-11-04 00:00:00",Cash,11832.00,208.00,0.00,12040.00
38,3583,20,"2025-09-24 00:00:00",Card,14590.00,380.00,0.00,14970.00
39,7535,11,"2025-09-06 00:00:00",Card,6633.00,182.00,0.00,6815.00
40,6928,5,"2025-12-07 00:00:00",Cash,12094.00,385.00,0.00,12479.00
41,7093,5,"2025-12-02 00:00:00",Cash,10375.00,443.00,0.00,10818.00
42,2828,1,"2025-06-15 00:00:00",UPI,13114.00,206.00,0.00,13320.00
43,4193,7,"2025-12-23 00:00:00",Card,16703.00,175.00,0.00,16878.00
44,6672,19,"2025-11-03 00:00:00",UPI,10454.00,420.00,0.00,10874.00
45,187,11,"2025-07-28 00:00:00",Cash,15147.00,296.00,0.00,15443.00
46,7508,15,"2025-01-22 00:00:00",UPI,15013.00,340.00,0.00,15353.00
47,2686,3,"2025-07-24 00:00:00",Card,16815.00,411.00,0.00,17226.00
48,1373,8,"2025-10-01 00:00:00",Cash,7372.00,298.00,0.00,7670.00
49,5866,15,"2025-07-23 00:00:00",Card,8552.00,383.00,0.00,8935.00
50,3304,12,"2025-12-05 00:00:00",Card,3070.00,492.00,0.00,3562.00
51,474,2,"2025-07-20 00:00:00",Card,10440.00,390.00,0.00,10830.00
52,4136,19,"2025-03-24 00:00:00",UPI,10084.00,455.00,0.00,10539.00
53,2640,1,"2025-07-23 00:00:00",Card,8266.00,174.00,0.00,8440.00
54,5674,13,"2025-05-15 00:00:00",Card,888.00,259.00,0.00,1147.00
55,6147,13,"2025-08-29 00:00:00",Cash,5574.00,201.00,0.00,5775.00
56,4855,10,"2025-03-27 00:00:00",UPI,8770.00,407.00,0.00,9177.00
57,4457,2,"2025-04-11 00:00:00",Card,1342.00,483.00,0.00,1825.00
58,117,19,"2025-10-04 00:00:00",UPI,8924.00,323.00,0.00,9247.00
59,1544,18,"2025-10-08 00:00:00",Cash,8425.00,370.00,0.00,8795.00
60,4026,10,"2025-12-08 00:00:00",Cash,11697.00,425.00,0.00,12122.00
61,7934,2,"2025-12-24 00:00:00",Cash,11966.00,319.00,0.00,12285.00
62,465,7,"2025-08-02 00:00:00",Cash,7299.00,342.00,0.00,7641.00
63,4470,15,"2025-03-04 00:00:00",UPI,11771.00,397.00,0.00,12168.00
64,5930,19,"2025-03-09 00:00:00",Card,5974.00,284.00,0.00,6258.00
65,2897,14,"2025-03-03 00:00:00",UPI,14607.00,246.00,0.00,14853.00
66,4704,13,"2025-12-22 00:00:00",UPI,17548.00,407.00,0.00,17955.00
67,6216,9,"2025-01-14 00:00:00",Card,7385.00,152.00,0.00,7537.00
68,5455,2,"2025-11-16 00:00:00",Card,8994.00,465.00,0.00,9459.00
69,4747,11,"2025-10-19 00:00:00",UPI,4439.00,437.00,0.00,4876.00
70,1240,7,"2025-02-25 00:00:00",Cash,748.00,424.00,0.00,1172.00
71,3194,6,"2025-03-13 00:00:00",Card,8597.00,324.00,0.00,8921.00
72,818,18,"2025-02-23 00:00:00",Card,2356.00,446.00,0.00,2802.00
73,3494,4,"2025-07-15 00:00:00",Card,907.00,237.00,0.00,1144.00
74,6894,18,"2025-01-13 00:00:00",Cash,3877.00,186.00,0.00,4063.00
75,4508,20,"2025-02-06 00:00:00",Card,20548.00,230.00,0.00,20778.00
76,1531,16,"2025-12-28 00:00:00",Cash,17924.00,484.00,0.00,18408.00
77,3398,3,"2025-01-21 00:00:00",Card,4399.00,276.00,0.00,4675.00
78,6146,5,"2025-05-11 00:00:00",Cash,4602.00,460.00,0.00,5062.00
79,617,17,"2025-06-28 00:00:00",Cash,6833.00,412.00,0.00,7245.00
80,6498,8,"2025-03-21 00:00:00",Cash,5171.00,459.00,0.00,5630.00
81,5378,12,"2025-06-03 00:00:00",Card,12165.00,372.00,0.00,12537.00
82,5915,9,"2025-03-05 00:00:00",UPI,24010.00,486.00,0.00,24496.00
83,23,14,"2026-01-05 00:00:00",Cash,7662.00,396.00,0.00,8058.00
84,3851,13,"2025-08-08 00:00:00",Card,4465.00,347.00,0.00,4812.00
85,5468,9,"2025-09-23 00:00:00",Card,16756.00,450.00,0.00,17206.00
86,3010,4,"2025-08-24 00:00:00",Card,2752.00,359.00,0.00,3111.00
